record_id	needs_review_class	performance_metric	performance_value	extraction_note
REC-AIBIOGU-000001	residual_caveat	AUC	Time-dependent AUC for PCa progression-free interval (TCGA-PRAD training): 1-yr 0.78, 3-yr 0.73, 5-yr 0.70; log-rank P<0.001. External validation: DKFZ2018 log-rank P=0.001 (AUC>0.	Scope borderline per inherited appraisal_note (AD comorbidity focus vs GU biomarker scope): study is primarily a dual-disease mechanistic/functional paper; the prognostic ML signature is a secondary discovery output rather than the central clinical-prediction contribution. Funding/COI/limitations no
REC-AIBIOGU-000002	appraisal_caution_already_in_rob	AUC	Time-dependent AUC 0.821, 0.842, 0.836 at 1/3/5 yr (TCGA-PRAD); HR 3.21 for BCR-free survival (log-rank P<0.0001)	Appraisal flags single-cohort TCGA-PRAD design without independent external validation despite thorough internal nomogram/DCA analyses.
REC-AIBIOGU-000007	appraisal_caution_already_in_rob	AUC	AUC >0.9 reported across test and GEO validation cohorts (abstract)	Appraisal_note states authors explicitly acknowledge lack of external validation as a limitation despite GEO validation cohorts in methods.
REC-AIBIOGU-000008	appraisal_caution_already_in_rob	AUC	5-year AUC 0.858 training (GSE220095); 0.745 external validation (GSE70769)	Appraisal flags notable training-to-validation AUC drop (0.858 to 0.745) warranting cautious interpretation.
REC-AIBIOGU-000010	appraisal_caution_already_in_rob	AUC	ROC-AUC 0.963 training and 0.920 validation; PR-AUC 0.950 and 0.921 respectively	Appraisal flags no external cohort—only internal training/validation split of single-center data.
REC-AIBIOGU-000013	appraisal_caution_already_in_rob	AUC	Nomogram AUC 0.908 training and 0.885 validation; TPR signature AUC 0.824 train and 0.816 validation	Appraisal flags validation as random split of pooled two-center data, not a true held-out external cohort.
REC-AIBIOGU-000014	appraisal_caution_already_in_rob	accuracy	Out-of-fold accuracy 93.8%; macro-F1 0.937	Appraisal flags n=80 and explicit lack of external validation despite strong nested-CV accuracy.
REC-AIBIOGU-000015	residual_caveat	AUC	AUC >0.90 across multiple independent GEO cohorts (abstract)	Paper anchor is EDC network toxicology and docking; ML signature is secondary explainable prioritization layer.
REC-AIBIOGU-000016	appraisal_caution_already_in_rob	AUC	AUC approximately 0.65–0.70 in external validation (per appraisal_note; numeric detail truncated in slice)	Appraisal notes modest discrimination (AUC ~0.65–0.70) despite genuine external cohort.
REC-AIBIOGU-000028	no_printed_number	other	Highest-average C-index model selected by tenfold cross-validation across TCGA and external cohorts, with Kaplan-Meier separation of recurrence-free survival; no numeric C-index or	The full text does not report a numeric performance metric.
REC-AIBIOGU-000029	residual_caveat	AUC	External-validation AUC = 1 for the combined feature-gene diagnostic model (Figure 7F)	The full text states an area under the curve value of 1 for the feature-gene model on external validation. That perfect AUC needs review as possible overfitting. Individual-gene AUCs are not printed.
REC-AIBIOGU-000036	residual_caveat	AUC	Combined set AUC 0.887 (random forest), 0.956 (naive Bayes), and 0.996 (SVM)	AUCs are printed, but the full text only says supplementary results were split into 10 runs and does not define cross-validation. T3b n=13 and an SVM AUC of 0.996 need review.
REC-AIBIOGU-000037	appraisal_caution_already_in_rob	accuracy	Highest accuracy 81.01% with Random Forest	Appraisal flags n=102 and no external validation despite GitHub code transparency.
REC-AIBIOGU-000038	appraisal_caution_already_in_rob	AUC	AUC 0.988 (GSE55597); AUC 1.0 (GSE119195, authors flag implausible)	Appraisal flags implausible AUC=1.0 in GSE119195 and lack of genuine independent external validation.
REC-AIBIOGU-000039	no_printed_number	other	Clinically meaningful odds ratio for aggressive progression (numeric OR truncated in slice)	Appraisal flags no true external cohort—validation was internal intermediate-risk subgroup split.
REC-AIBIOGU-000042	appraisal_caution_already_in_rob	AUC	Task1 combined model AUC 0.900 train/0.832 test; Task2 ITH AUC 0.802 train/0.840 test	Appraisal flags single-center design and high overfitting risk in Task 2 (25 CRPC events).
REC-AIBIOGU-000053	appraisal_caution_already_in_rob	AUC	Test set radiomics AUC 0.928 vs PI-RADS 0.807; combined nomogram AUC 0.955	Appraisal flags single-center design and stated need for further external validation.
REC-AIBIOGU-000054	no_printed_number	NR	NR	Paper anchor is mechanistic immunology; ML prognostic model is secondary with performance not quantified in slice.
REC-AIBIOGU-000063	appraisal_caution_already_in_rob	AUC	AUC up to ~0.966 reported for top model in slice results excerpt	Appraisal flags single-center design, class imbalance, and no external validation cohort.
REC-AIBIOGU-000065	appraisal_caution_already_in_rob	AUC	Nomogram AUC 0.929 training, 0.734 internal validation, 0.743 external validation	Appraisal flags large training vs validation AUC gap (0.929 vs 0.734/0.743) suggesting overfitting.
REC-AIBIOGU-000067	appraisal_caution_already_in_rob	C-index	Modest C-index ~0.63–0.73 across models; hypoxia signature did not improve AIC (p=0.625)	Appraisal notes modest C-index (~0.70) and lack of independent external validation.
REC-AIBIOGU-000068	appraisal_caution_already_in_rob	AUC	AUC up to ~0.916 reported in slice with bootstrap validation	Appraisal flags single-center cohort with bootstrap-only validation.
REC-AIBIOGU-000073	no_printed_number	other	Random survival forest outperformed Cox proportional hazards on Brier score, C/D AUC, and C-index, without printed numeric values	The full text does not report a numeric performance metric. Analysis remains retrospective TCGA-PRAD only.
REC-AIBIOGU-000074	appraisal_caution_already_in_rob	C-index	Nomogram C-index 0.906	Appraisal flags n=77, high overfitting risk, and lack of external validation.
REC-AIBIOGU-000078	appraisal_caution_already_in_rob	AUC	AUC up to ~0.95 training and ~0.77–0.91 validation splits in slice excerpt	Appraisal flags single-center design without external validation cohort.
REC-AIBIOGU-000079	no_printed_number	NR	NR	Appraisal: discovery-focused n=35 PCa+ASCVD study without formal predictive validation; borderline GU scope.
REC-AIBIOGU-000083	residual_caveat	AUC	Training (TCGA-PRAD): AUC 1y=0.754, 3y=0.776, 5y=0.706; KM high- vs low-risk HR=4.72, P<0.001; nomogram AUC=0.775. External validation (GSE116918): AUC 1y=0.728, 3y=0.526, 5y=0.599	n_analytic for the TCGA-PRAD cohort used to derive and validate the prognostic model is never given as an explicit number in the manuscript (only GSE35988 [n=88] and GSE66187 [n=95] component counts are stated); marked NR. Funding statement not located (competing interests declared, funding section 
REC-AIBIOGU-000094	appraisal_caution_already_in_rob	other	ROC analysis is described as showing high tumor-versus-normal discrimination for NOP58, and Cox models are described for OS, PFI, and DSS, without a printed AUC, C-index, HR, accur	Appraisal flagged borderline prediction scope because ML outputs are intertwined with mechanistic SUMO/NOP58 analyses rather than a standalone externally validated prognostic model. The full text does not report a numeric metric for the prostate NOP58 model.
REC-AIBIOGU-000103	no_printed_number	other	No radiomics model non-invasively predicted epigenetic clusters (negative prediction result)	Appraisal noted negative/borderline prediction result with poor radiomics performance for epigenetic cluster classification.
